EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAEXJOE, SWEDEN (STAID: 1)
Blended and updated with sources:3 37886 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     1, 37886,18600101,    0,    0
     1, 37886,18600102,    0,    0
     1, 37886,18600103,  136,    0
     1, 37886,18600104,   49,    0
     1, 37886,18600105,    0,    0
     1, 37886,18600106,    0,    0
     1, 37886,18600107,   70,    0
     1, 37886,18600108,    0,    0
     1, 37886,18600109,    0,    0
     1, 37886,18600110,    0,    0
     1, 37886,18600111,    0,    0
     1, 37886,18600112,    0,    0
     1, 37886,18600113,    0,    0
     1, 37886,18600114,    0,    0
     1, 37886,18600115,   23,    0
     1, 37886,18600116,   16,    0
     1, 37886,18600117,    0,    0
     1, 37886,18600118,    0,    0
     1, 37886,18600119,    0,    0
     1, 37886,18600120,    0,    0
     1, 37886,18600121,    0,    0
     1, 37886,18600122,    0,    0
     1, 37886,18600123,  113,    0
     1, 37886,18600124,   22,    0
     1, 37886,18600125,   46,    0
     1, 37886,18600126,    0,    0
     1, 37886,18600127,    0,    0
     1, 37886,18600128,    0,    0
     1, 37886,18600129,  136,    0
     1, 37886,18600130,    0,    0
     1, 37886,18600131,    0,    0
     1, 37886,18600201,    0,    0
