EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STENSELE, SWEDEN (STAID: 3)
Blended and updated with sources:11 40456 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     3,    11,19180101,    0,    0
     3,    11,19180102,    0,    0
     3,    11,19180103,    0,    0
     3,    11,19180104,   23,    0
     3,    11,19180105,   20,    0
     3,    11,19180106,    1,    0
     3,    11,19180107,   20,    0
     3,    11,19180108,    0,    0
     3,    11,19180109,    0,    0
     3,    11,19180110,   14,    0
     3,    11,19180111,   18,    0
     3,    11,19180112,    0,    0
     3,    11,19180113,    3,    0
     3,    11,19180114,    0,    0
     3,    11,19180115,    0,    0
     3,    11,19180116,    0,    0
     3,    11,19180117,    5,    0
     3,    11,19180118,    1,    0
     3,    11,19180119,    0,    0
     3,    11,19180120,   19,    0
     3,    11,19180121,   31,    0
     3,    11,19180122,    0,    0
     3,    11,19180123,    9,    0
     3,    11,19180124,    0,    0
     3,    11,19180125,    0,    0
     3,    11,19180126,    0,    0
     3,    11,19180127,    0,    0
     3,    11,19180128,    2,    0
     3,    11,19180129,   16,    0
     3,    11,19180130,   39,    0
     3,    11,19180131,    0,    0
     3,    11,19180201,   11,    0
     3,    11,19180202,    0,    0
     3,    11,19180203,    0,    0
     3,    11,19180204,    0,    0
     3,    11,19180205,    0,    0
     3,    11,19180206,   23,    0
     3,    11,19180207,    5,    0
     3,    11,19180208,   16,    0
     3,    11,19180209,    8,    0
     3,    11,19180210,   17,    0
     3,    11,19180211,    3,    0
     3,    11,19180212,    0,    0
     3,    11,19180213,    0,    0
     3,    11,19180214,    0,    0
     3,    11,19180215,    0,    0
     3,    11,19180216,    0,    0
     3,    11,19180217,    0,    0
     3,    11,19180218,    0,    0
     3,    11,19180219,    0,    0
     3,    11,19180220,    1,    0
     3,    11,19180221,    3,    0
     3,    11,19180222,   20,    0
     3,    11,19180223,    3,    0
     3,    11,19180224,    6,    0
     3,    11,19180225,    0,    0
     3,    11,19180226,   15,    0
     3,    11,19180227,    0,    0
     3,    11,19180228,    0,    0
     3,    11,19180301,    0,    0
     3,    11,19180302,    0,    0
     3,    11,19180303,    0,    0
     3,    11,19180304,    0,    0
     3,    11,19180305,    0,    0
     3,    11,19180306,    0,    0
     3,    11,19180307,    0,    0
     3,    11,19180308,    0,    0
     3,    11,19180309,    0,    0
     3,    11,19180310,    0,    0
     3,    11,19180311,    0,    0
     3,    11,19180312,   19,    0
     3,    11,19180313,    1,    0
     3,    11,19180314,    0,    0
     3,    11,19180315,    0,    0
     3,    11,19180316,    0,    0
     3,    11,19180317,    0,    0
     3,    11,19180318,    0,    0
     3,    11,19180319,    6,    0
     3,    11,19180320,    3,    0
     3,    11,19180321,   22,    0
     3,    11,19180322,   13,    0
     3,    11,19180323,    0,    0
     3,    11,19180324,    3,    0
     3,    11,19180325,    0,    0
     3,    11,19180326,    0,    0
     3,    11,19180327,    1,    0
     3,    11,19180328,    0,    0
     3,    11,19180329,    0,    0
     3,    11,19180330,    0,    0
     3,    11,19180331,    0,    0
     3,    11,19180401,    6,    0
     3,    11,19180402,    0,    0
     3,    11,19180403,   56,    0
     3,    11,19180404,    0,    0
     3,    11,19180405,    0,    0
     3,    11,19180406,    0,    0
     3,    11,19180407,    1,    0
     3,    11,19180408,    0,    0
     3,    11,19180409,    0,    0
     3,    11,19180410,    0,    0
     3,    11,19180411,    0,    0
     3,    11,19180412,    0,    0
     3,    11,19180413,    0,    0
     3,    11,19180414,    0,    0
     3,    11,19180415,    0,    0
     3,    11,19180416,    0,    0
     3,    11,19180417,    0,    0
     3,    11,19180418,    0,    0
     3,    11,19180419,    1,    0
     3,    11,19180420,    0,    0
     3,    11,19180421,    0,    0
     3,    11,19180422,    0,    0
     3,    11,19180423,    0,    0
     3,    11,19180424,    0,    0
     3,    11,19180425,    0,    0
     3,    11,19180426,    0,    0
     3,    11,19180427,    0,    0
     3,    11,19180428,    0,    0
     3,    11,19180429,    0,    0
     3,    11,19180430,    0,    0
     3,    11,19180501,    0,    0
     3,    11,19180502,    0,    0
     3,    11,19180503,    0,    0
     3,    11,19180504,    0,    0
     3,    11,19180505,    0,    0
     3,    11,19180506,    0,    0
     3,    11,19180507,    0,    0
     3,    11,19180508,   35,    0
     3,    11,19180509,    1,    0
     3,    11,19180510,    0,    0
     3,    11,19180511,    0,    0
     3,    11,19180512,    0,    0
     3,    11,19180513,    0,    0
     3,    11,19180514,    3,    0
     3,    11,19180515,    0,    0
     3,    11,19180516,   26,    0
     3,    11,19180517,    4,    0
     3,    11,19180518,   10,    0
     3,    11,19180519,   29,    0
     3,    11,19180520,    1,    0
     3,    11,19180521,    3,    0
     3,    11,19180522,    0,    0
     3,    11,19180523,    0,    0
     3,    11,19180524,    1,    0
     3,    11,19180525,    0,    0
     3,    11,19180526,    0,    0
     3,    11,19180527,    0,    0
     3,    11,19180528,    0,    0
     3,    11,19180529,    0,    0
     3,    11,19180530,    3,    0
     3,    11,19180531,    0,    0
     3,    11,19180601,    0,    0
     3,    11,19180602,    0,    0
     3,    11,19180603,    0,    0
     3,    11,19180604,    0,    0
     3,    11,19180605,    0,    0
     3,    11,19180606,    0,    0
     3,    11,19180607,    0,    0
     3,    11,19180608,    0,    0
     3,    11,19180609,    1,    0
     3,    11,19180610,    1,    0
     3,    11,19180611,    2,    0
     3,    11,19180612,    0,    0
     3,    11,19180613,   27,    0
     3,    11,19180614,   17,    0
     3,    11,19180615,   29,    0
