EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LINKOEPING, SWEDEN (STAID: 4)
Blended and updated with sources:14 17 38494 38500 38514 902562 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     4,    14,19310101,   85,    0
     4,    14,19310102,    4,    0
     4,    14,19310103,    0,    0
     4,    14,19310104,   72,    0
     4,    14,19310105,   70,    0
     4,    14,19310106,   13,    0
     4,    14,19310107,    0,    0
     4,    14,19310108,    0,    0
     4,    14,19310109,    4,    0
     4,    14,19310110,    3,    0
     4,    14,19310111,   48,    0
     4,    14,19310112,   10,    0
     4,    14,19310113,   46,    0
     4,    14,19310114,   44,    0
     4,    14,19310115,   34,    0
     4,    14,19310116,   79,    0
     4,    14,19310117,    3,    0
     4,    14,19310118,    0,    0
     4,    14,19310119,    0,    0
     4,    14,19310120,    0,    0
     4,    14,19310121,    0,    0
     4,    14,19310122,    0,    0
     4,    14,19310123,    2,    0
     4,    14,19310124,   26,    0
     4,    14,19310125,    8,    0
     4,    14,19310126,    4,    0
     4,    14,19310127,    0,    0
     4,    14,19310128,    7,    0
     4,    14,19310129,    1,    0
     4,    14,19310130,    6,    0
     4,    14,19310131,    0,    0
     4,    14,19310201,    5,    0
     4,    14,19310202,   12,    0
     4,    14,19310203,    2,    0
     4,    14,19310204,    1,    0
     4,    14,19310205,    5,    0
     4,    14,19310206,    1,    0
     4,    14,19310207,    0,    0
     4,    14,19310208,    0,    0
     4,    14,19310209,    0,    0
     4,    14,19310210,    3,    0
     4,    14,19310211,    0,    0
     4,    14,19310212,    0,    0
     4,    14,19310213,   21,    0
     4,    14,19310214,    0,    0
     4,    14,19310215,    1,    0
     4,    14,19310216,    4,    0
     4,    14,19310217,    0,    0
     4,    14,19310218,    0,    0
     4,    14,19310219,    3,    0
     4,    14,19310220,    0,    0
     4,    14,19310221,   41,    0
     4,    14,19310222,   25,    0
     4,    14,19310223,    0,    0
     4,    14,19310224,    1,    0
     4,    14,19310225,   28,    0
     4,    14,19310226,    2,    0
     4,    14,19310227,    0,    0
     4,    14,19310228,    0,    0
     4,    14,19310301,    0,    0
     4,    14,19310302,    0,    0
     4,    14,19310303,    0,    0
     4,    14,19310304,    0,    0
     4,    14,19310305,    0,    0
     4,    14,19310306,   11,    0
     4,    14,19310307,   11,    0
     4,    14,19310308,    0,    0
     4,    14,19310309,   16,    0
     4,    14,19310310,   84,    0
     4,    14,19310311,  106,    0
     4,    14,19310312,   12,    0
     4,    14,19310313,    0,    0
     4,    14,19310314,    0,    0
     4,    14,19310315,    0,    0
     4,    14,19310316,    0,    0
     4,    14,19310317,    0,    0
     4,    14,19310318,    0,    0
     4,    14,19310319,    0,    0
     4,    14,19310320,    0,    0
     4,    14,19310321,    0,    0
     4,    14,19310322,    3,    0
     4,    14,19310323,    9,    0
     4,    14,19310324,    2,    0
     4,    14,19310325,    0,    0
     4,    14,19310326,    0,    0
     4,    14,19310327,    1,    0
     4,    14,19310328,    0,    0
     4,    14,19310329,    0,    0
     4,    14,19310330,    0,    0
     4,    14,19310331,    0,    0
     4,    14,19310401,    0,    0
     4,    14,19310402,    0,    0
     4,    14,19310403,    0,    0
     4,    14,19310404,    0,    0
     4,    14,19310405,   54,    0
     4,    14,19310406,    0,    0
     4,    14,19310407,    0,    0
     4,    14,19310408,    0,    0
     4,    14,19310409,    0,    0
     4,    14,19310410,    2,    0
     4,    14,19310411,    0,    0
     4,    14,19310412,   39,    0
     4,    14,19310413,  161,    0
     4,    14,19310414,    7,    0
     4,    14,19310415,    7,    0
     4,    14,19310416,    0,    0
     4,    14,19310417,    0,    0
     4,    14,19310418,    0,    0
     4,    14,19310419,   11,    0
     4,    14,19310420,    1,    0
     4,    14,19310421,    0,    0
     4,    14,19310422,  227,    0
     4,    14,19310423,    0,    0
     4,    14,19310424,    0,    0
     4,    14,19310425,    1,    0
     4,    14,19310426,    7,    0
     4,    14,19310427,    4,    0
     4,    14,19310428,   97,    0
     4,    14,19310429,    0,    0
     4,    14,19310430,    0,    0
     4,    14,19310501,   15,    0
     4,    14,19310502,   73,    0
     4,    14,19310503,    0,    0
     4,    14,19310504,    4,    0
     4,    14,19310505,    0,    0
     4,    14,19310506,    0,    0
     4,    14,19310507,    0,    0
     4,    14,19310508,    3,    0
     4,    14,19310509,    0,    0
     4,    14,19310510,    0,    0
     4,    14,19310511,    6,    0
     4,    14,19310512,   65,    0
     4,    14,19310513,    0,    0
     4,    14,19310514,   54,    0
     4,    14,19310515,    1,    0
     4,    14,19310516,   67,    0
     4,    14,19310517,   13,    0
     4,    14,19310518,   71,    0
     4,    14,19310519,    0,    0
     4,    14,19310520,    0,    0
     4,    14,19310521,    5,    0
     4,    14,19310522,  109,    0
     4,    14,19310523,    2,    0
     4,    14,19310524,    0,    0
     4,    14,19310525,    0,    0
     4,    14,19310526,    0,    0
     4,    14,19310527,  131,    0
     4,    14,19310528,   43,    0
     4,    14,19310529,  102,    0
     4,    14,19310530,    0,    0
     4,    14,19310531,   48,    0
     4,    14,19310601,    1,    0
     4,    14,19310602,    0,    0
     4,    14,19310603,    0,    0
     4,    14,19310604,    3,    0
     4,    14,19310605,    0,    0
     4,    14,19310606,    0,    0
     4,    14,19310607,    2,    0
     4,    14,19310608,   54,    0
     4,    14,19310609,    0,    0
     4,    14,19310610,   28,    0
     4,    14,19310611,    2,    0
     4,    14,19310612,    4,    0
     4,    14,19310613,    0,    0
     4,    14,19310614,    0,    0
     4,    14,19310615,   49,    0
     4,    14,19310616,    0,    0
     4,    14,19310617,    0,    0
