EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARLSTAD, SWEDEN (STAID: 6)
Blended and updated with sources:1220 38924 38940 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     6, 38924,18600101,    5,    0
     6, 38924,18600102,  124,    0
     6, 38924,18600103,    0,    0
     6, 38924,18600104,   82,    0
     6, 38924,18600105,   15,    0
     6, 38924,18600106,   12,    0
     6, 38924,18600107,    0,    0
     6, 38924,18600108,    5,    0
     6, 38924,18600109,    0,    0
     6, 38924,18600110,    0,    0
     6, 38924,18600111,    0,    0
     6, 38924,18600112,    0,    0
     6, 38924,18600113,    0,    0
     6, 38924,18600114,    0,    0
     6, 38924,18600115,    0,    0
     6, 38924,18600116,   73,    0
     6, 38924,18600117,    0,    0
     6, 38924,18600118,   14,    0
     6, 38924,18600119,    0,    0
     6, 38924,18600120,    0,    0
     6, 38924,18600121,    0,    0
     6, 38924,18600122,   25,    0
     6, 38924,18600123,    0,    0
     6, 38924,18600124,   31,    0
     6, 38924,18600125,   47,    0
     6, 38924,18600126,   17,    0
     6, 38924,18600127,    0,    0
     6, 38924,18600128,   20,    0
     6, 38924,18600129,    0,    0
     6, 38924,18600130,    1,    0
     6, 38924,18600131,    0,    0
     6, 38924,18600201,    0,    0
     6, 38924,18600202,    3,    0
     6, 38924,18600203,    0,    0
     6, 38924,18600204,    0,    0
     6, 38924,18600205,    0,    0
     6, 38924,18600206,    0,    0
     6, 38924,18600207,    0,    0
     6, 38924,18600208,    0,    0
     6, 38924,18600209,    0,    0
     6, 38924,18600210,    0,    0
     6, 38924,18600211,    0,    0
     6, 38924,18600212,    0,    0
     6, 38924,18600213,    0,    0
     6, 38924,18600214,    0,    0
     6, 38924,18600215,    0,    0
     6, 38924,18600216,    0,    0
     6, 38924,18600217,    0,    0
     6, 38924,18600218,    0,    0
     6, 38924,18600219,    4,    0
     6, 38924,18600220,   89,    0
     6, 38924,18600221,    1,    0
     6, 38924,18600222,    0,    0
     6, 38924,18600223,    0,    0
     6, 38924,18600224,    0,    0
     6, 38924,18600225,    0,    0
     6, 38924,18600226,    0,    0
     6, 38924,18600227,    0,    0
     6, 38924,18600228,   75,    0
     6, 38924,18600229,   33,    0
     6, 38924,18600301,    0,    0
     6, 38924,18600302,    0,    0
     6, 38924,18600303,    0,    0
     6, 38924,18600304,   11,    0
     6, 38924,18600305,    0,    0
     6, 38924,18600306,    0,    0
     6, 38924,18600307,    0,    0
     6, 38924,18600308,    0,    0
     6, 38924,18600309,    0,    0
     6, 38924,18600310,    0,    0
     6, 38924,18600311,    0,    0
     6, 38924,18600312,    0,    0
     6, 38924,18600313,    0,    0
     6, 38924,18600314,    0,    0
     6, 38924,18600315,   18,    0
     6, 38924,18600316,    0,    0
     6, 38924,18600317,    0,    0
     6, 38924,18600318,    0,    0
     6, 38924,18600319,    0,    0
     6, 38924,18600320,    8,    0
     6, 38924,18600321,    0,    0
     6, 38924,18600322,   24,    0
     6, 38924,18600323,    0,    0
     6, 38924,18600324,    0,    0
     6, 38924,18600325,   47,    0
     6, 38924,18600326,    0,    0
     6, 38924,18600327,    0,    0
     6, 38924,18600328,    0,    0
     6, 38924,18600329,    0,    0
     6, 38924,18600330,    0,    0
     6, 38924,18600331,    0,    0
     6, 38924,18600401,    0,    0
     6, 38924,18600402,   61,    0
     6, 38924,18600403,   19,    0
     6, 38924,18600404,    0,    0
     6, 38924,18600405,    0,    0
     6, 38924,18600406,    0,    0
     6, 38924,18600407,    0,    0
     6, 38924,18600408,    0,    0
     6, 38924,18600409,   12,    0
     6, 38924,18600410,    0,    0
     6, 38924,18600411,    0,    0
     6, 38924,18600412,    0,    0
     6, 38924,18600413,    0,    0
     6, 38924,18600414,   16,    0
     6, 38924,18600415,    0,    0
     6, 38924,18600416,    0,    0
     6, 38924,18600417,    0,    0
     6, 38924,18600418,    0,    0
     6, 38924,18600419,    0,    0
     6, 38924,18600420,   31,    0
     6, 38924,18600421,    0,    0
     6, 38924,18600422,    0,    0
     6, 38924,18600423,  149,    0
     6, 38924,18600424,   42,    0
     6, 38924,18600425,   36,    0
     6, 38924,18600426,   19,    0
     6, 38924,18600427,    5,    0
     6, 38924,18600428,    0,    0
     6, 38924,18600429,    0,    0
     6, 38924,18600430,    0,    0
     6, 38924,18600501,    0,    0
     6, 38924,18600502,    0,    0
     6, 38924,18600503,    0,    0
     6, 38924,18600504,    0,    0
     6, 38924,18600505,    0,    0
     6, 38924,18600506,    0,    0
     6, 38924,18600507,    0,    0
     6, 38924,18600508,    0,    0
     6, 38924,18600509,   15,    0
     6, 38924,18600510,    0,    0
     6, 38924,18600511,    0,    0
     6, 38924,18600512,   26,    0
     6, 38924,18600513,   27,    0
     6, 38924,18600514,   62,    0
     6, 38924,18600515,    0,    0
     6, 38924,18600516,    0,    0
     6, 38924,18600517,    0,    0
     6, 38924,18600518,    0,    0
     6, 38924,18600519,    0,    0
     6, 38924,18600520,    0,    0
     6, 38924,18600521,   48,    0
     6, 38924,18600522,    0,    0
     6, 38924,18600523,  107,    0
     6, 38924,18600524,   21,    0
     6, 38924,18600525,    0,    0
     6, 38924,18600526,    0,    0
     6, 38924,18600527,   98,    0
     6, 38924,18600528,    0,    0
     6, 38924,18600529,    0,    0
     6, 38924,18600530,    0,    0
     6, 38924,18600531,    0,    0
     6, 38924,18600601,   13,    0
     6, 38924,18600602,    6,    0
     6, 38924,18600603,   12,    0
     6, 38924,18600604,    0,    0
     6, 38924,18600605,    0,    0
     6, 38924,18600606,    0,    0
     6, 38924,18600607,    0,    0
     6, 38924,18600608,    0,    0
     6, 38924,18600609,    0,    0
     6, 38924,18600610,   42,    0
     6, 38924,18600611,   39,    0
     6, 38924,18600612,   61,    0
     6, 38924,18600613,   22,    0
     6, 38924,18600614,    0,    0
     6, 38924,18600615,    0,    0
     6, 38924,18600616,  131,    0
     6, 38924,18600617,    0,    0
     6, 38924,18600618,   21,    0
     6, 38924,18600619,   18,    0
     6, 38924,18600620,  238,    0
     6, 38924,18600621,   51,    0
     6, 38924,18600622,    0,    0
     6, 38924,18600623,    0,    0
     6, 38924,18600624,    0,    0
     6, 38924,18600625,    0,    0
     6, 38924,18600626,   66,    0
     6, 38924,18600627,    0,    0
     6, 38924,18600628,    6,    0
     6, 38924,18600629,    4,    0
     6, 38924,18600630,   12,    0
     6, 38924,18600701,    0,    0
     6, 38924,18600702,    0,    0
     6, 38924,18600703,    0,    0
     6, 38924,18600704,    0,    0
     6, 38924,18600705,    0,    0
     6, 38924,18600706,    0,    0
     6, 38924,18600707,    0,    0
     6, 38924,18600708,    0,    0
     6, 38924,18600709,    0,    0
     6, 38924,18600710,    0,    0
     6, 38924,18600711,    0,    0
     6, 38924,18600712,    0,    0
     6, 38924,18600713,    0,    0
     6, 38924,18600714,    0,    0
     6, 38924,18600715,    0,    0
     6, 38924,18600716,    0,    0
     6, 38924,18600717,    0,    0
     6, 38924,18600718,  136,    0
     6, 38924,18600719,    0,    0
     6, 38924,18600720,   11,    0
     6, 38924,18600721,    0,    0
     6, 38924,18600722,    0,    0
     6, 38924,18600723,   53,    0
     6, 38924,18600724,    0,    0
     6, 38924,18600725,    0,    0
     6, 38924,18600726,   20,    0
     6, 38924,18600727,    0,    0
     6, 38924,18600728,    0,    0
     6, 38924,18600729,    0,    0
     6, 38924,18600730,   55,    0
     6, 38924,18600731,    0,    0
     6, 38924,18600801,    0,    0
     6, 38924,18600802,    0,    0
     6, 38924,18600803,    0,    0
     6, 38924,18600804,    1,    0
     6, 38924,18600805,   54,    0
     6, 38924,18600806,    7,    0
     6, 38924,18600807,   65,    0
     6, 38924,18600808,    0,    0
     6, 38924,18600809,    0,    0
