EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARLSTAD-AIRPORT, SWEDEN (STAID: 7)
Blended and updated with sources:23 38898 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     7, 38898,19490101,   35,    0
     7, 38898,19490102,    0,    0
     7, 38898,19490103,   16,    0
     7, 38898,19490104,    0,    0
     7, 38898,19490105,    0,    0
     7, 38898,19490106,   18,    0
     7, 38898,19490107,   82,    0
     7, 38898,19490108,   50,    0
     7, 38898,19490109,    0,    0
     7, 38898,19490110,   12,    0
     7, 38898,19490111,    5,    0
     7, 38898,19490112,    6,    0
     7, 38898,19490113,    0,    0
     7, 38898,19490114,    0,    0
     7, 38898,19490115,    0,    0
     7, 38898,19490116,    1,    0
     7, 38898,19490117,   59,    0
     7, 38898,19490118,   20,    0
     7, 38898,19490119,    7,    0
     7, 38898,19490120,    0,    0
     7, 38898,19490121,    0,    0
     7, 38898,19490122,    0,    0
     7, 38898,19490123,   20,    0
     7, 38898,19490124,    0,    0
     7, 38898,19490125,    0,    0
     7, 38898,19490126,    0,    0
     7, 38898,19490127,    0,    0
     7, 38898,19490128,    0,    0
     7, 38898,19490129,    0,    0
     7, 38898,19490130,    0,    0
     7, 38898,19490131,    0,    0
     7, 38898,19490201,    0,    0
     7, 38898,19490202,    0,    0
     7, 38898,19490203,    0,    0
     7, 38898,19490204,    0,    0
     7, 38898,19490205,    0,    0
     7, 38898,19490206,    0,    0
     7, 38898,19490207,    0,    0
     7, 38898,19490208,   97,    0
     7, 38898,19490209,    0,    0
     7, 38898,19490210,    0,    0
     7, 38898,19490211,    0,    0
     7, 38898,19490212,    5,    0
     7, 38898,19490213,    7,    0
     7, 38898,19490214,    0,    0
     7, 38898,19490215,    0,    0
     7, 38898,19490216,    0,    0
     7, 38898,19490217,    0,    0
     7, 38898,19490218,    0,    0
     7, 38898,19490219,    0,    0
     7, 38898,19490220,    0,    0
     7, 38898,19490221,   42,    0
