EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-04-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OESTERSUND, SWEDEN (STAID: 8)
Blended and updated with sources:26 29 39980 39992 39994 40002 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
     8,    26,19180101,    0,    0
     8,    26,19180102,    0,    0
     8,    26,19180103,    2,    0
     8,    26,19180104,   29,    0
     8,    26,19180105,  100,    0
     8,    26,19180106,    3,    0
     8,    26,19180107,   30,    0
     8,    26,19180108,    0,    0
     8,    26,19180109,    0,    0
     8,    26,19180110,   12,    0
     8,    26,19180111,   61,    0
     8,    26,19180112,    4,    0
     8,    26,19180113,    3,    0
     8,    26,19180114,    0,    0
     8,    26,19180115,   60,    0
     8,    26,19180116,    0,    0
     8,    26,19180117,    0,    0
     8,    26,19180118,   21,    0
     8,    26,19180119,    0,    0
     8,    26,19180120,   36,    0
     8,    26,19180121,   26,    0
     8,    26,19180122,   18,    0
     8,    26,19180123,    0,    0
     8,    26,19180124,   19,    0
     8,    26,19180125,    0,    0
     8,    26,19180126,    0,    0
     8,    26,19180127,    6,    0
     8,    26,19180128,    0,    0
     8,    26,19180129,   31,    0
     8,    26,19180130,    6,    0
     8,    26,19180131,    0,    0
     8,    26,19180201,    0,    0
     8,    26,19180202,    0,    0
     8,    26,19180203,    0,    0
     8,    26,19180204,    0,    0
     8,    26,19180205,    0,    0
     8,    26,19180206,    0,    0
     8,    26,19180207,    0,    0
     8,    26,19180208,   78,    0
     8,    26,19180209,    8,    0
     8,    26,19180210,    3,    0
     8,    26,19180211,   14,    0
     8,    26,19180212,    0,    0
     8,    26,19180213,    0,    0
     8,    26,19180214,    0,    0
     8,    26,19180215,    0,    0
     8,    26,19180216,    0,    0
     8,    26,19180217,    0,    0
     8,    26,19180218,    0,    0
     8,    26,19180219,    0,    0
     8,    26,19180220,    4,    0
     8,    26,19180221,   13,    0
     8,    26,19180222,   18,    0
     8,    26,19180223,    2,    0
     8,    26,19180224,    0,    0
     8,    26,19180225,   14,    0
     8,    26,19180226,    1,    0
     8,    26,19180227,    0,    0
     8,    26,19180228,    0,    0
     8,    26,19180301,   18,    0
     8,    26,19180302,    0,    0
     8,    26,19180303,    0,    0
     8,    26,19180304,    0,    0
     8,    26,19180305,    0,    0
     8,    26,19180306,    0,    0
     8,    26,19180307,    0,    0
     8,    26,19180308,    0,    0
     8,    26,19180309,    0,    0
     8,    26,19180310,   14,    0
     8,    26,19180311,   37,    0
     8,    26,19180312,   44,    0
     8,    26,19180313,    2,    0
     8,    26,19180314,    0,    0
     8,    26,19180315,    0,    0
     8,    26,19180316,    0,    0
     8,    26,19180317,    0,    0
     8,    26,19180318,    0,    0
     8,    26,19180319,   12,    0
     8,    26,19180320,    0,    0
     8,    26,19180321,    3,    0
     8,    26,19180322,    7,    0
     8,    26,19180323,   30,    0
     8,    26,19180324,   70,    0
     8,    26,19180325,    0,    0
     8,    26,19180326,    0,    0
     8,    26,19180327,    0,    0
     8,    26,19180328,    7,    0
     8,    26,19180329,    0,    0
     8,    26,19180330,    0,    0
     8,    26,19180331,    0,    0
     8,    26,19180401,    1,    0
     8,    26,19180402,   14,    0
     8,    26,19180403,   70,    0
     8,    26,19180404,    0,    0
     8,    26,19180405,    0,    0
     8,    26,19180406,    0,    0
     8,    26,19180407,    0,    0
     8,    26,19180408,    0,    0
     8,    26,19180409,    2,    0
     8,    26,19180410,    0,    0
     8,    26,19180411,    0,    0
     8,    26,19180412,    0,    0
     8,    26,19180413,    0,    0
     8,    26,19180414,    0,    0
     8,    26,19180415,    0,    0
     8,    26,19180416,    0,    0
     8,    26,19180417,   30,    0
     8,    26,19180418,    0,    0
     8,    26,19180419,    0,    0
     8,    26,19180420,    0,    0
     8,    26,19180421,    0,    0
     8,    26,19180422,    0,    0
     8,    26,19180423,    0,    0
     8,    26,19180424,    0,    0
     8,    26,19180425,    0,    0
     8,    26,19180426,    0,    0
     8,    26,19180427,    0,    0
     8,    26,19180428,    2,    0
